County,Year,Lat.y,Long.y,Votes_DEM,Votes_REP
YADKIN,2008,36.1605,-80.6652,4527,12409
YANCEY,2008,35.8989,-82.3076,4486,5045
ALAMANCE,2012,NA,NA,28875,38170
ALEXANDER,2012,35.921,-81.177,4611,12253
ALLEGHANY,2012,36.4916,-81.1271,1583,3390
ANSON,2012,34.9738,-80.1027,7019,4166
ASHE,2012,36.4341,-81.5003,4116,8242
AVERY,2012,36.0765,-81.9226,1882,5766
BEAUFORT,2012,35.494,-76.8598,9435,13977
BERTIE,2012,36.0662,-76.9787,6695,3387
BLADEN,2012,34.6146,-78.5637,8062,7748
BRUNSWICK,2012,34.071,-78.2377,22038,34743
BUNCOMBE,2012,35.6112,-82.5301,70625,54701
BURKE,2012,35.7496,-81.7048,13701,22267
CABARRUS,2012,35.3868,-80.5519,32849,49557
CALDWELL,2012,35.953,-81.5464,10898,23229
CAMDEN,2012,36.3877,-76.2064,1508,3109
CARTERET,2012,34.8357,-76.6589,10301,24775
CASWELL,2012,36.3932,-79.3335,5348,5594
CATAWBA,2012,35.662,-81.2151,24069,44538
CHATHAM,2012,35.7026,-79.2553,18361,16665
CHEROKEE,2012,35.1339,-84.0635,3378,9278
CHOWAN,2012,36.1508,-76.6079,3556,3891
CLAY,2012,35.0572,-83.7502,1579,3973
CLEVELAND,2012,35.3341,-81.5555,17062,25793
COLUMBUS,2012,34.2656,-78.655,11050,12941
CRAVEN,2012,35.1249,-77.0939,18763,26928
CUMBERLAND,2012,35.0487,-78.8277,75792,50666
CURRITUCK,2012,36.4031,-76.0059,3562,7496
DARE,2012,35.7805,-75.7982,7393,10248
DAVIDSON,2012,35.7933,-80.2128,20624,49383
DAVIE,2012,35.9291,-80.5445,5735,14687
DUPLIN,2012,34.9365,-77.933,9033,11416
DURHAM,2012,36.036,-78.8766,111224,33769
EDGECOMBE,2012,35.9129,-77.5971,18310,8546
FORSYTH,2012,36.1306,-80.2563,92323,79768
FRANKLIN,2012,36.0827,-78.2857,13436,14603
GASTON,2012,35.2944,-81.1803,33171,56138
GATES,2012,36.4449,-76.7005,2786,2564
GRAHAM,2012,35.3502,-83.8335,1119,2750
GRANVILLE,2012,36.304,-78.6527,13598,12405
GREENE,2012,35.485,-77.6758,3778,4411
GUILFORD,2012,36.0795,-79.7889,146365,104789
HALIFAX,2012,36.2574,-77.6517,17176,8763
HARNETT,2012,35.3688,-78.8693,17331,25565
HAYWOOD,2012,35.556,-82.9822,11833,15633
HENDERSON,2012,35.3363,-82.48,18642,32994
HERTFORD,2012,36.3591,-76.982,7843,3007
HOKE,2012,35.0175,-79.2373,10076,6819
HYDE,2012,35.5305,-76.2509,1163,1193
IREDELL,2012,35.8071,-80.8734,26076,49299
JACKSON,2012,35.2876,-83.1408,8095,8254
JOHNSTON,2012,35.5178,-78.3657,27290,48427
JONES,2012,35.0217,-77.3552,2352,2837
LEE,2012,35.4752,-79.1715,10801,13158
LENOIR,2012,35.2388,-77.6412,13948,13980
LINCOLN,2012,35.4856,-81.2235,11024,25267
MACON,2012,35.1505,-83.4222,5712,10835
MADISON,2012,35.858,-82.7058,4484,5404
MARTIN,2012,35.8432,-77.1092,6583,5995
MCDOWELL,2012,35.6817,-82.0493,6031,11775
MECKLENBURG,2012,35.2467,-80.8328,272262,171668
MITCHELL,2012,36.0133,-82.1636,1838,5806
MONTGOMERY,2012,35.3325,-79.9055,4706,6404
MOORE,2012,35.3106,-79.4814,16505,29495
NASH,2012,35.9673,-77.9864,24313,23842
NEW HANOVER,2012,34.2328,-77.8847,48668,53385
NORTHAMPTON,2012,36.4178,-77.3969,7232,3483
ONSLOW,2012,34.7321,-77.4321,18490,32243
ORANGE,2012,36.0611,-79.1207,53901,21539
PAMLICO,2012,35.1435,-76.7407,2647,4051
PASQUOTANK,2012,36.2955,-76.284,10282,7633
PENDER,2012,34.5248,-77.9051,9632,14617
PERQUIMANS,2012,36.2059,-76.4411,2759,3822
PERSON,2012,36.39,-78.9718,8418,10496
PITT,2012,35.5933,-77.3745,41843,36214
POLK,2012,35.2793,-82.1697,4013,6236
RANDOLPH,2012,35.7103,-79.806,14773,45160
RICHMOND,2012,35.0059,-79.7479,9904,9332
ROBESON,2012,34.6402,-79.1039,24988,17510
ROCKINGHAM,2012,36.396,-79.775,16351,25227
ROWAN,2012,35.6394,-80.5247,22650,38775
RUTHERFORD,2012,35.4026,-81.9198,9374,18954
SAMPSON,2012,34.9916,-78.3714,11566,14422
SCOTLAND,2012,34.8409,-79.4804,8215,5831
STANLY,2012,35.3119,-80.251,8431,19904
STOKES,2012,36.4019,-80.2397,6018,15237
SURRY,2012,36.4146,-80.688,9112,19923
SWAIN,2012,35.4868,-83.4928,2618,2976
TRANSYLVANIA,2012,35.2021,-82.7982,6826,9634
TYRRELL,2012,35.8172,-76.209,837,930
UNION,2012,34.9884,-80.5307,32473,61107
