County,Year,Votes_DEM,Votes_REP,Lat,Long
POLK,2016,3735,6768,35.2793,-82.1697
RANDOLPH,2016,13194,49430,35.7103,-79.806
RICHMOND,2016,8501,10383,35.0059,-79.7479
ROBESON,2016,19016,20762,34.6402,-79.1039
ROCKINGHAM,2016,14228,26830,36.396,-79.775
ROWAN,2016,19400,42810,35.6394,-80.5247
RUTHERFORD,2016,7512,21871,35.4026,-81.9198
SAMPSON,2016,10547,14838,34.9916,-78.3714
SCOTLAND,2016,7319,6256,34.8409,-79.4804
STANLY,2016,7094,21964,35.3119,-80.251
STOKES,2016,4665,17116,36.4019,-80.2397
SURRY,2016,7488,23671,36.4146,-80.688
SWAIN,2016,2196,3565,35.4868,-83.4928
TRANSYLVANIA,2016,6558,10520,35.2021,-82.7982
TYRRELL,2016,720,975,35.8172,-76.209
UNION,2016,34337,66707,34.9884,-80.5307
VANCE,2016,12229,7332,36.3649,-78.4079
WAKE,2016,302736,196082,35.7903,-78.6503
WARREN,2016,6413,3214,36.3965,-78.1067
WASHINGTON,2016,3510,2564,35.8226,-76.5775
WATAUGA,2016,14138,13697,36.2311,-81.6964
WAYNE,2016,21770,27540,35.364,-78.004
WILKES,2016,6638,23752,36.2062,-81.163
WILSON,2016,19663,17531,35.7051,-77.9187
YADKIN,2016,3160,13880,36.1605,-80.6652
YANCEY,2016,3196,6385,35.8989,-82.3076
ALAMANCE,2020,38825,46056,36.0117,-79.4254
ALEXANDER,2020,4145,15888,35.921,-81.177
ALLEGHANY,2020,1486,4527,36.4916,-81.1271
ANSON,2020,5789,5321,34.9738,-80.1027
ASHE,2020,4164,11451,36.4341,-81.5003
AVERY,2020,2191,7172,36.0765,-81.9226
BEAUFORT,2020,9633,16437,35.494,-76.8598
BERTIE,2020,5939,3817,36.0662,-76.9787
BLADEN,2020,7326,9676,34.6146,-78.5637
BRUNSWICK,2020,33310,55850,34.071,-78.2377
BUNCOMBE,2020,96515,62412,35.6112,-82.5301
BURKE,2020,13118,31019,35.7496,-81.7048
CABARRUS,2020,52162,63237,35.3868,-80.5519
CALDWELL,2020,10245,32119,35.953,-81.5464
CAMDEN,2020,1537,4312,36.3877,-76.2064
CARTERET,2020,12093,30028,34.8357,-76.6589
CASWELL,2020,4860,7089,36.3932,-79.3335
CATAWBA,2020,25689,56588,35.662,-81.2151
CHATHAM,2020,26787,21186,35.7026,-79.2553
CHEROKEE,2020,3583,12628,35.1339,-84.0635
CHOWAN,2020,3247,4471,36.1508,-76.6079
CLAY,2020,1699,5112,35.0572,-83.7502
CLEVELAND,2020,16955,33798,35.3341,-81.5555
COLUMBUS,2020,9446,16832,34.2656,-78.655
CRAVEN,2020,21148,31032,35.1249,-77.0939
CUMBERLAND,2020,84469,60032,35.0487,-78.8277
CURRITUCK,2020,4195,11657,36.4031,-76.0059
DARE,2020,9936,13938,35.7805,-75.7982
