County,Choice_Party,Total_Votes,Year
MADISON,REP,5192,2008
MARTIN,DEM,6539,2008
MARTIN,REP,5957,2008
MCDOWELL,DEM,6571,2008
MCDOWELL,REP,11534,2008
MECKLENBURG,DEM,253958,2008
MECKLENBURG,REP,153848,2008
MITCHELL,DEM,2238,2008
MITCHELL,REP,5499,2008
MONTGOMERY,DEM,4926,2008
MONTGOMERY,REP,6155,2008
MOORE,DEM,17624,2008
MOORE,REP,27314,2008
NASH,DEM,23099,2008
NASH,REP,23728,2008
NEW HANOVER,DEM,49145,2008
NEW HANOVER,REP,50544,2008
NORTHAMPTON,DEM,6903,2008
NORTHAMPTON,REP,3671,2008
ONSLOW,DEM,19499,2008
ONSLOW,REP,30278,2008
ORANGE,DEM,53806,2008
ORANGE,REP,20266,2008
PAMLICO,DEM,2838,2008
PAMLICO,REP,3823,2008
PASQUOTANK,DEM,10272,2008
PASQUOTANK,REP,7778,2008
PENDER,DEM,9907,2008
PENDER,REP,13618,2008
PERQUIMANS,DEM,2772,2008
PERQUIMANS,REP,3678,2008
PERSON,DEM,8446,2008
PERSON,REP,10030,2008
PITT,DEM,40501,2008
PITT,REP,33927,2008
POLK,DEM,4396,2008
POLK,REP,5990,2008
RANDOLPH,DEM,16414,2008
RANDOLPH,REP,40998,2008
RICHMOND,DEM,9713,2008
RICHMOND,REP,9424,2008
ROBESON,DEM,23058,2008
ROBESON,REP,17433,2008
ROCKINGHAM,DEM,17255,2008
ROCKINGHAM,REP,23899,2008
ROWAN,DEM,23391,2008
ROWAN,REP,37451,2008
RUTHERFORD,DEM,9641,2008
RUTHERFORD,REP,18769,2008
SAMPSON,DEM,11836,2008
SAMPSON,REP,14038,2008
SCOTLAND,DEM,8151,2008
SCOTLAND,REP,6005,2008
STANLY,DEM,8878,2008
STANLY,REP,19329,2008
STOKES,DEM,6875,2008
STOKES,REP,14488,2008
SURRY,DEM,10475,2008
SURRY,REP,18730,2008
SWAIN,DEM,2806,2008
SWAIN,REP,2900,2008
TRANSYLVANIA,DEM,7275,2008
TRANSYLVANIA,REP,9401,2008
TYRRELL,DEM,933,2008
TYRRELL,REP,960,2008
UNION,DEM,31189,2008
UNION,REP,54123,2008
VANCE,DEM,13166,2008
VANCE,REP,7606,2008
WAKE,DEM,250891,2008
WAKE,REP,187001,2008
WARREN,DEM,7086,2008
WARREN,REP,3063,2008
WASHINGTON,DEM,3748,2008
WASHINGTON,REP,2670,2008
WATAUGA,DEM,14558,2008
WATAUGA,REP,13344,2008
WAYNE,DEM,22671,2008
WAYNE,REP,26952,2008
WILKES,DEM,8934,2008
WILKES,REP,20288,2008
WILSON,DEM,19652,2008
WILSON,REP,17375,2008
YADKIN,DEM,4527,2008
YADKIN,REP,12409,2008
YANCEY,DEM,4486,2008
YANCEY,REP,5045,2008
ALAMANCE,DEM,28875,2012
ALAMANCE,REP,38170,2012
ALEXANDER,DEM,4611,2012
ALEXANDER,REP,12253,2012
ALLEGHANY,DEM,1583,2012
ALLEGHANY,REP,3390,2012
ANSON,DEM,7019,2012
ANSON,REP,4166,2012
ASHE,DEM,4116,2012
ASHE,REP,8242,2012
AVERY,DEM,1882,2012
AVERY,REP,5766,2012
BEAUFORT,DEM,9435,2012
BEAUFORT,REP,13977,2012
BERTIE,DEM,6695,2012
BERTIE,REP,3387,2012
BLADEN,DEM,8062,2012
BLADEN,REP,7748,2012
BRUNSWICK,DEM,22038,2012
BRUNSWICK,REP,34743,2012
BUNCOMBE,DEM,70625,2012
BUNCOMBE,REP,54701,2012
BURKE,DEM,13701,2012
BURKE,REP,22267,2012
CABARRUS,DEM,32849,2012
CABARRUS,REP,49557,2012
CALDWELL,DEM,10898,2012
CALDWELL,REP,23229,2012
CAMDEN,DEM,1508,2012
CAMDEN,REP,3109,2012
CARTERET,DEM,10301,2012
CARTERET,REP,24775,2012
CASWELL,DEM,5348,2012
CASWELL,REP,5594,2012
CATAWBA,DEM,24069,2012
CATAWBA,REP,44538,2012
CHATHAM,DEM,18361,2012
CHATHAM,REP,16665,2012
CHEROKEE,DEM,3378,2012
CHEROKEE,REP,9278,2012
CHOWAN,DEM,3556,2012
CHOWAN,REP,3891,2012
CLAY,DEM,1579,2012
CLAY,REP,3973,2012
CLEVELAND,DEM,17062,2012
CLEVELAND,REP,25793,2012
COLUMBUS,DEM,11050,2012
COLUMBUS,REP,12941,2012
CRAVEN,DEM,18763,2012
CRAVEN,REP,26928,2012
CUMBERLAND,DEM,75792,2012
CUMBERLAND,REP,50666,2012
CURRITUCK,DEM,3562,2012
CURRITUCK,REP,7496,2012
DARE,DEM,7393,2012
DARE,REP,10248,2012
DAVIDSON,DEM,20624,2012
DAVIDSON,REP,49383,2012
DAVIE,DEM,5735,2012
DAVIE,REP,14687,2012
DUPLIN,DEM,9033,2012
DUPLIN,REP,11416,2012
DURHAM,DEM,111224,2012
DURHAM,REP,33769,2012
EDGECOMBE,DEM,18310,2012
EDGECOMBE,REP,8546,2012
FORSYTH,DEM,92323,2012
FORSYTH,REP,79768,2012
FRANKLIN,DEM,13436,2012
FRANKLIN,REP,14603,2012
GASTON,DEM,33171,2012
GASTON,REP,56138,2012
GATES,DEM,2786,2012
GATES,REP,2564,2012
GRAHAM,DEM,1119,2012
GRAHAM,REP,2750,2012
GRANVILLE,DEM,13598,2012
GRANVILLE,REP,12405,2012
GREENE,DEM,3778,2012
GREENE,REP,4411,2012
GUILFORD,DEM,146365,2012
GUILFORD,REP,104789,2012
HALIFAX,DEM,17176,2012
HALIFAX,REP,8763,2012
HARNETT,DEM,17331,2012
HARNETT,REP,25565,2012
HAYWOOD,DEM,11833,2012
HAYWOOD,REP,15633,2012
HENDERSON,DEM,18642,2012
HENDERSON,REP,32994,2012
HERTFORD,DEM,7843,2012
HERTFORD,REP,3007,2012
HOKE,DEM,10076,2012
HOKE,REP,6819,2012
HYDE,DEM,1163,2012
HYDE,REP,1193,2012
IREDELL,DEM,26076,2012
IREDELL,REP,49299,2012
JACKSON,DEM,8095,2012
JACKSON,REP,8254,2012
JOHNSTON,DEM,27290,2012
JOHNSTON,REP,48427,2012
JONES,DEM,2352,2012
JONES,REP,2837,2012
LEE,DEM,10801,2012
LEE,REP,13158,2012
LENOIR,DEM,13948,2012
LENOIR,REP,13980,2012
LINCOLN,DEM,11024,2012
LINCOLN,REP,25267,2012
MACON,DEM,5712,2012
MACON,REP,10835,2012
MADISON,DEM,4484,2012
MADISON,REP,5404,2012
MARTIN,DEM,6583,2012
MARTIN,REP,5995,2012
MCDOWELL,DEM,6031,2012
MCDOWELL,REP,11775,2012
MECKLENBURG,DEM,272262,2012
MECKLENBURG,REP,171668,2012
MITCHELL,DEM,1838,2012
MITCHELL,REP,5806,2012
MONTGOMERY,DEM,4706,2012
MONTGOMERY,REP,6404,2012
MOORE,DEM,16505,2012
MOORE,REP,29495,2012
NASH,DEM,24313,2012
NASH,REP,23842,2012
NEW HANOVER,DEM,48668,2012
NEW HANOVER,REP,53385,2012
NORTHAMPTON,DEM,7232,2012
NORTHAMPTON,REP,3483,2012
ONSLOW,DEM,18490,2012
ONSLOW,REP,32243,2012
ORANGE,DEM,53901,2012
ORANGE,REP,21539,2012
PAMLICO,DEM,2647,2012
PAMLICO,REP,4051,2012
PASQUOTANK,DEM,10282,2012
PASQUOTANK,REP,7633,2012
PENDER,DEM,9632,2012
PENDER,REP,14617,2012
PERQUIMANS,DEM,2759,2012
PERQUIMANS,REP,3822,2012
PERSON,DEM,8418,2012
PERSON,REP,10496,2012
PITT,DEM,41843,2012
PITT,REP,36214,2012
POLK,DEM,4013,2012
POLK,REP,6236,2012
RANDOLPH,DEM,14773,2012
RANDOLPH,REP,45160,2012
RICHMOND,DEM,9904,2012
RICHMOND,REP,9332,2012
ROBESON,DEM,24988,2012
ROBESON,REP,17510,2012
ROCKINGHAM,DEM,16351,2012
ROCKINGHAM,REP,25227,2012
ROWAN,DEM,22650,2012
ROWAN,REP,38775,2012
RUTHERFORD,DEM,9374,2012
RUTHERFORD,REP,18954,2012
SAMPSON,DEM,11566,2012
SAMPSON,REP,14422,2012
SCOTLAND,DEM,8215,2012
SCOTLAND,REP,5831,2012
STANLY,DEM,8431,2012
STANLY,REP,19904,2012
STOKES,DEM,6018,2012
STOKES,REP,15237,2012
SURRY,DEM,9112,2012
SURRY,REP,19923,2012
SWAIN,DEM,2618,2012
SWAIN,REP,2976,2012
TRANSYLVANIA,DEM,6826,2012
TRANSYLVANIA,REP,9634,2012
TYRRELL,DEM,837,2012
TYRRELL,REP,930,2012
UNION,DEM,32473,2012
UNION,REP,61107,2012
VANCE,DEM,13323,2012
VANCE,REP,7429,2012
WAKE,DEM,267262,2012
WAKE,REP,211596,2012
WARREN,DEM,6978,2012
WARREN,REP,3140,2012
WASHINGTON,DEM,3833,2012
WASHINGTON,REP,2622,2012
WATAUGA,DEM,13002,2012
WATAUGA,REP,13861,2012
WAYNE,DEM,23314,2012
WAYNE,REP,27641,2012
WILKES,DEM,8148,2012
WILKES,REP,20515,2012
WILSON,DEM,20875,2012
WILSON,REP,17954,2012
YADKIN,DEM,3957,2012
YADKIN,REP,12578,2012
YANCEY,DEM,3981,2012
YANCEY,REP,5278,2012
ALAMANCE,DEM,29833,2016
ALAMANCE,REP,38815,2016
ALEXANDER,DEM,3767,2016
ALEXANDER,REP,13893,2016
ALLEGHANY,DEM,1306,2016
ALLEGHANY,REP,3814,2016
ANSON,DEM,5859,2016
ANSON,REP,4506,2016
ASHE,DEM,3500,2016
ASHE,REP,9412,2016
AVERY,DEM,1689,2016
AVERY,REP,6298,2016
BEAUFORT,DEM,8764,2016
BEAUFORT,REP,14543,2016
