County,Year,Votes_DEM,Votes_REP,Lat,Long,Population,dem_per_capita,rep_per_capita
EDGECOMBE,2004,12877,8163,35.9129,-77.5971,48900,0.2633333333333333,0.16693251533742332
FORSYTH,2004,63340,75294,36.1306,-80.2563,382590,0.16555581693196372,0.1968007527640555
FRANKLIN,2004,9286,11540,36.0827,-78.2857,68573,0.13541773001035393,0.1682878100710192
GASTON,2004,20254,43252,35.2944,-81.1803,227943,0.08885554722013837,0.18974919168388588
GATES,2004,2121,1924,36.4449,-76.7005,10478,0.20242412674174462,0.18362282878411912
GRAHAM,2004,1272,2693,35.3502,-83.8335,8030,0.15840597758405978,0.3353673723536737
GRANVILLE,2004,9057,9491,36.304,-78.6527,60992,0.14849488457502624,0.15561057187827912
GREENE,2004,2665,3800,35.485,-77.6758,20451,0.13031147621143221,0.18580998484181702
GUILFORD,2004,100042,98254,36.0795,-79.7889,541309,0.184814957815222,0.18151185367322545
HALIFAX,2004,11528,8088,36.2574,-77.6517,48622,0.23709431944387313,0.16634445312821355
HARNETT,2004,11563,20922,35.3688,-78.8693,133568,0.08657013655965501,0.15663931480594154
HAYWOOD,2004,11237,14545,35.556,-82.9822,62089,0.18098213854305917,0.23426049702845914
HENDERSON,2004,15003,28025,35.3363,-82.48,116281,0.12902365820727377,0.24101099921741298
HERTFORD,2004,5141,2942,36.3591,-76.982,21552,0.2385393466963623,0.13650705270972532
HOKE,2004,5794,5257,35.0175,-79.2373,52082,0.11124764793978725,0.10093698398679006
HYDE,2004,1048,1235,35.5305,-76.2509,4589,0.2283721943778601,0.26912181303116145
IREDELL,2004,18065,38675,35.8071,-80.8734,186699,0.0967600254955838,0.20715161838038768
JACKSON,2004,6737,7351,35.2876,-83.1408,43109,0.156278271358649,0.17052123686469184
JOHNSTON,2004,17266,36903,35.5178,-78.3657,215999,0.07993555525720027,0.17084801318524623
JONES,2004,1893,2607,35.0217,-77.3552,9172,0.2063890100305277,0.28423462712603575
LEE,2004,7657,11834,35.4752,-79.1715,63285,0.12099233625661689,0.18699533854783915
LENOIR,2004,10207,12939,35.2388,-77.6412,55122,0.18517107506984506,0.2347338630673778
LINCOLN,2004,9434,20052,35.4856,-81.2235,86810,0.10867411588526668,0.23098721345467113
MACON,2004,5489,9448,35.1505,-83.4222,37014,0.1482952396390555,0.2552547684659858
MADISON,2004,4234,5175,35.858,-82.7058,21193,0.19978294719954703,0.24418440050960222
MARTIN,2004,5102,5334,35.8432,-77.1092,22031,0.23158276973355726,0.2421133856838092
MCDOWELL,2004,5330,10590,35.6817,-82.0493,44578,0.1195657050563058,0.23756112880793218
MECKLENBURG,2004,166828,155084,35.2467,-80.8328,1115482,0.14955687317231475,0.13902868894343431
MITCHELL,2004,2080,5686,36.0133,-82.1636,14903,0.13956921425216398,0.3815339193450983
MONTGOMERY,2004,4313,5745,35.3325,-79.9055,25751,0.16748864121781679,0.2230981321113743
MOORE,2004,13555,24714,35.3106,-79.4814,99727,0.13592106450610167,0.24781653915188465
NASH,2004,15693,21902,35.9673,-77.9864,94970,0.16524165525955564,0.23062019585132146
NEW HANOVER,2004,35572,45351,34.2328,-77.8847,225702,0.15760604691141417,0.20093308876305926
NORTHAMPTON,2004,5584,3176,36.4178,-77.3969,17471,0.31961536260088147,0.18178696125007154
ONSLOW,2004,11250,25890,34.7321,-77.4321,204576,0.05499178789300798,0.12655443453777568
ORANGE,2004,42910,20771,36.0611,-79.1207,148696,0.28857534836175824,0.13968768494108785
PAMLICO,2004,2335,3679,35.1435,-76.7407,12276,0.19020853698273052,0.29969045291625934
PASQUOTANK,2004,6984,6609,36.2955,-76.284,40568,0.1721553934135279,0.16291165450601458
PENDER,2004,6999,10037,34.5248,-77.9051,60203,0.11625666495025165,0.1667192664817368
PERQUIMANS,2004,1971,2965,36.2059,-76.4411,13005,0.15155709342560553,0.22798923490965015
PERSON,2004,6198,8973,36.39,-78.9718,39097,0.1585287873749904,0.2295061002122925
PITT,2004,24924,28590,35.5933,-77.3745,170243,0.14640249525678,0.1679364202933454
POLK,2004,3787,5140,35.2793,-82.1697,19328,0.19593336092715233,0.26593543046357615
RANDOLPH,2004,12966,37771,35.7103,-79.806,144171,0.08993486900971763,0.2619875009537286
RICHMOND,2004,8383,7709,35.0059,-79.7479,42946,0.19519862152470543,0.1795044940157407
ROBESON,2004,17868,15909,34.6402,-79.1039,116530,0.1533339054320776,0.13652278383248947
ROCKINGHAM,2004,14430,22840,36.396,-79.775,91096,0.15840432071660665,0.25072451040660404
ROWAN,2004,16735,34915,35.6394,-80.5247,146875,0.1139404255319149,0.23771914893617022
RUTHERFORD,2004,8184,16343,35.4026,-81.9198,64444,0.12699397926882255,0.25360002482775745
SAMPSON,2004,9649,12600,34.9916,-78.3714,59036,0.16344264516566162,0.2134290941120672
SCOTLAND,2004,6386,5141,34.8409,-79.4804,34174,0.1868672089892901,0.15043600397963364
STANLY,2004,7650,17814,35.3119,-80.251,62504,0.12239216690131832,0.2850057596313836
STOKES,2004,5767,13583,36.4019,-80.2397,44520,0.12953728661275832,0.30509883198562443
SURRY,2004,8304,17587,36.4146,-80.688,71359,0.11636934374080354,0.2464580501408372
SWAIN,2004,2419,2593,35.4868,-83.4928,14117,0.1713536870439895,0.1836792519657151
TRANSYLVANIA,2004,6097,9386,35.2021,-82.7982,32986,0.1848359910264961,0.28454495846722855
TYRRELL,2004,731,855,35.8172,-76.209,3245,0.22526964560862867,0.26348228043143296
UNION,2004,17974,42820,34.9884,-80.5307,238267,0.07543638019532709,0.17971435406497752
VANCE,2004,8762,6884,36.3649,-78.4079,42578,0.20578702616374653,0.1616797407111654
WAKE,2004,169909,177324,35.7903,-78.6503,1129393,0.15044275996043893,0.1570082336263816
WARREN,2004,5171,2840,36.3965,-78.1067,18642,0.27738440081536314,0.15234416908057075
WASHINGTON,2004,2969,2484,35.8226,-76.5775,11003,0.269835499409252,0.22575661183313642
WATAUGA,2004,11232,12659,36.2311,-81.6964,54086,0.2076692674629294,0.23405317457382688
WAYNE,2004,15076,24883,35.364,-78.004,117333,0.1284890013892085,0.2120716252034807
WILKES,2004,7862,19197,36.2062,-81.163,65969,0.1191771892858767,0.29100031833133744
WILSON,2004,14206,16264,35.7051,-77.9187,78784,0.18031580016246954,0.2064378554021121
YADKIN,2004,3451,11816,36.1605,-80.6652,37214,0.09273391734293546,0.3175149137421401
YANCEY,2004,4434,4940,35.8989,-82.3076,18470,0.2400649702219816,0.2674607471575528
ALAMANCE,2008,28918,34859,36.0117,-79.4254,171415,0.1687016888837033,0.20336026602106
ALEXANDER,2008,5167,11790,35.921,-81.177,36444,0.1417791680386346,0.3235100428054001
ALLEGHANY,2008,2021,3124,36.4916,-81.1271,10888,0.18561719324026452,0.28692138133725203
ANSON,2008,6456,4207,34.9738,-80.1027,22055,0.2927227386080254,0.19075039673543415
ASHE,2008,4872,7916,36.4341,-81.5003,26577,0.1833164013997065,0.2978515257553524
AVERY,2008,2178,5681,36.0765,-81.9226,17806,0.1223183196675278,0.319049758508368
BEAUFORT,2008,9454,13460,35.494,-76.8598,44652,0.2117262384663621,0.301442264624205
BERTIE,2008,6365,3376,36.0662,-76.9787,17934,0.3549124567859931,0.1882457901193264
BLADEN,2008,7853,7532,34.6146,-78.5637,29606,0.2652502871039654,0.25440789029250827
BRUNSWICK,2008,21331,30753,34.071,-78.2377,136694,0.1560492779492882,0.22497695582834654
BUNCOMBE,2008,69716,52494,35.6112,-82.5301,269452,0.2587325386339682,0.19481762985615247
BURKE,2008,14901,22102,35.7496,-81.7048,87570,0.17016101404590614,0.2523923718168323
